,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,triangular_index,sd1,sd2,ratio_sd2_sd1,csi,cvi,Modified_csi,sampen
count,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0,94178.0
mean,559.5978147762747,102.78022756604103,89.21819799115286,151.5586867421266,50.688523994022276,221.75022829110833,74.16395595020346,89.21976644864718,545.8648914820872,615.8547643823398,0.15713126251867948,0.1789755024044775,116.54035777108102,178.0707067362839,67.74870690653596,19.25998867930952,4722.239622175772,3623.300796518024,1.1618090369955345,49.57435789669606,50.425642103303936,10408.280475512345,2062.740056818549,15.50597536983882,63.19255447636177,130.32693101363145,2.0252925092467473,2.0252925092467473,5.029108438409383,1151.0272101712328,1.568010885295527
std,134.01043195904617,45.12350515577361,31.817199342691847,49.31314872599532,16.49269188160402,44.98595647279207,15.045470392238077,31.817641350004024,135.4836570102042,276.0020640591081,0.03355471925428473,0.053736921048781604,25.09369544211956,41.649794464207794,20.841667997403942,5.614917373093201,6101.563310519855,2617.6083312391024,0.8639258044428249,13.143302177786754,13.143302177786756,12090.214517996646,5272.152250845068,6.1998769123258235,22.535874384592326,60.938820572955166,0.6647430141933786,0.6647430141933786,0.4320374244999257,1015.3245173949355,0.37108965508514047
min,276.9833333333333,2.242042785685146,3.347239665444711,0.0,0.0,0.0,0.0,3.347239665444711,265.0,10.0,0.0069823253234252,0.0055397529877571,39.197024293569264,66.29834254143647,15.0564617314931,0.6522079852778399,0.031447863749047,0.2275450489885885,0.0062445143514947,0.6205762379255523,1.8850315936214608,0.5766475317241155,0.0095180945346819,1.038062283737024,2.3708237743720044,1.8839008267755335,0.1783235311653736,0.1783235311653736,1.902353736589938,1.3442265835203318,0.0064973333966555
25%,457.10833333333335,70.3518653813338,66.73036772099152,123.0,41.1371237458194,210.0,70.23411371237458,66.73119090343954,445.0,435.0,0.145024101191876,0.14929326990038858,98.61332697840116,150.0,52.63157894736842,16.124158476415513,1239.6572896329164,1616.4082858424595,0.6874322679493423,40.73836212598922,41.53828565946992,3505.142251041173,385.76438082870163,11.11111111111111,47.26459951426688,86.90614041222403,1.743395970889865,1.743395970889865,4.819656113958388,622.3231256970851,1.4285019905597065
50%,537.6333333333333,97.55857907669397,86.14475294558403,158.0,52.84280936454849,232.0,77.59197324414716,86.14569452692766,520.0,570.0,0.15974493471406814,0.1776952864981196,115.30761234449686,171.42857142857142,64.86486486486487,19.1922984137154,3117.0696180577897,3144.022881654835,0.991894853373818,49.79654682522978,50.20345317477022,7649.103622027089,1033.1618184202057,15.0,61.015657297924335,123.23537044657559,1.951558004584066,1.951558004584066,5.082081792816798,980.7938288881252,1.6427376221337
75%,634.1624999999999,129.85038013019008,109.34749378327027,188.0,62.876254180602,249.0,83.27759197324414,109.34815125677119,616.25,765.0,0.17459326053013116,0.20750792994939235,134.4958208951964,196.72131147540983,78.94736842105263,22.130131455540685,6422.105177657125,5119.65913824727,1.4074176007189851,58.46171434053007,59.26163787401077,14188.126701310903,2337.484794456809,20.0,77.44997784463374,165.76961969105218,2.166974522571847,2.166974522571847,5.310986927643355,1417.7989586192498,1.798207988759427
max,1582.0416666666667,491.0610177073329,326.47014103795186,298.0,99.66555183946488,299.0,100.0,326.47027219758087,1590.0,3740.0,0.5754977328159019,0.7908757111631766,221.1110090380548,300.0,157.89473684210526,55.87692702673486,303054.0381860927,43608.79069287096,52.04950873947066,98.11496840637857,99.37942376207444,740133.8044769001,620604.3747799463,42.85714285714285,231.23625714220387,682.4499590706124,23.13597704261857,23.13597704261857,6.296511946666618,29835.98788091167,2.9704144655697013


This is for  AF windows.
